name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Surrey Heath,E14001532,County,England,E92000001,South East,E12000008,2019-12-12,52131,15552,70825
Mid Sussex,E14001366,County,England,E92000001,South East,E12000008,2019-12-12,52949,13665,72255
Sussex Weald,E14001533,County,England,E92000001,South East,E12000008,2019-12-12,49418,23164,70075
Sutton and Cheam,E14001534,Borough,England,E92000001,London,E12000007,2019-12-12,50487,8351,71284
Sutton Coldfield,E14001535,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,52325,19272,74584
Swansea West,W07000108,County,Wales,W92000004,,,2019-12-12,44199,10037,74612
Swindon North,E14001536,County,England,E92000001,South West,E12000009,2019-12-12,47381,13250,72163
Swindon South,E14001537,Borough,England,E92000001,South West,E12000009,2019-12-12,49527,5650,72468
Tamworth,E14001538,County,England,E92000001,West Midlands,E12000005,2019-12-12,47584,20663,73644
Tatton,E14001539,County,England,E92000001,North West,E12000002,2019-12-12,55394,19281,75538
Taunton and Wellington,E14001540,County,England,E92000001,South West,E12000009,2019-12-12,54440,8536,76049
Telford,E14001541,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,43525,10900,70768
Tewkesbury,E14001542,County,England,E92000001,South West,E12000009,2019-12-12,53858,19443,72426
East Thanet,E14001216,Borough,England,E92000001,South East,E12000008,2019-12-12,47924,7585,73790
Thirsk and Malton,E14001544,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,52198,23337,76623
Thornbury and Yate,E14001545,County,England,E92000001,South West,E12000009,2019-12-12,56083,14538,74935
Thurrock,E14001546,Borough,England,E92000001,East of England,E12000006,2019-12-12,44369,11962,73347
Tipton and Wednesbury,E14001547,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,38200,4693,73820
Tiverton and Minehead,E14001548,County,England,E92000001,South West,E12000009,2019-12-12,49411,20665,70829
Tonbridge,E14001549,County,England,E92000001,South East,E12000008,2019-12-12,54450,27052,73692
Tooting,E14001550,Borough,England,E92000001,London,E12000007,2019-12-12,58473,14307,76986
Torbay,E14001551,Borough,England,E92000001,South West,E12000009,2019-12-12,50971,17751,75742
Torfaen,W07000109,County,Wales,W92000004,,,2019-12-12,43553,4110,70591
Torridge and Tavistock,E14001552,County,England,E92000001,South West,E12000009,2019-12-12,54668,22899,74802
Tottenham,E14001553,Borough,England,E92000001,London,E12000007,2019-12-12,45720,30488,75968
Truro and Falmouth,E14001554,County,England,E92000001,South West,E12000009,2019-12-12,55178,4459,73326
Tunbridge Wells,E14001555,County,England,E92000001,South East,E12000008,2019-12-12,54650,14645,75213
Twickenham,E14001556,Borough,England,E92000001,London,E12000007,2019-12-12,58352,13074,75889
Tynemouth,E14001557,Borough,England,E92000001,North East,E12000001,2019-12-12,53940,3512,73022
West Tyrone,N05000018,County,Northern Ireland,N92000002,,,2019-12-12,43891,8074,70614
Mid Ulster,N05000010,County,Northern Ireland,N92000002,,,2019-12-12,44534,9806,70094
Upper Bann,N05000017,County,Northern Ireland,N92000002,,,2019-12-12,46442,7477,76969
Uxbridge and South Ruislip,E14001558,Borough,England,E92000001,London,E12000007,2019-12-12,50782,7939,75042
Vale of Glamorgan,W07000110,County,Wales,W92000004,,,2019-12-12,49993,2566,70426
Vauxhall and Camberwell Green,E14001559,Borough,England,E92000001,London,E12000007,2019-12-12,46440,19225,69995
Wakefield and Rothwell,E14001560,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,49093,2626,73968
Wallasey,E14001561,Borough,England,E92000001,North West,E12000002,2019-12-12,51470,19422,73054
Walsall and Bloxwich,E14001562,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,45630,2186,74866
Walthamstow,E14001563,Borough,England,E92000001,London,E12000007,2019-12-12,48335,30862,70867
Warrington North,E14001564,County,England,E92000001,North West,E12000002,2019-12-12,46546,1513,72350
Warrington South,E14001565,County,England,E92000001,North West,E12000002,2019-12-12,54129,65,76639
Warwick and Leamington,E14001566,County,England,E92000001,West Midlands,E12000005,2019-12-12,52208,1169,75440
North Warwickshire and Bedworth,E14001400,County,England,E92000001,West Midlands,E12000005,2019-12-12,45914,17956,70245
Washington and Gateshead South,E14001567,Borough,England,E92000001,North East,E12000001,2019-12-12,41954,3938,71775
Watford,E14001568,Borough,England,E92000001,East of England,E12000006,2019-12-12,48298,1300,70576
Waveney Valley,E14001569,County,England,E92000001,East of England,E12000006,2019-12-12,51280,22364,70540
Weald of Kent,E14001570,County,England,E92000001,South East,E12000008,2019-12-12,49652,28751,70110
Wellingborough and Rushden,E14001571,County,England,E92000001,East Midlands,E12000004,2019-12-12,47044,16038,76669
Wells and Mendip Hills,E14001572,County,England,E92000001,South West,E12000009,2019-12-12,56441,14295,69843
Welwyn Hatfield,E14001573,County,England,E92000001,East of England,E12000006,2019-12-12,51797,10773,74535
West Bromwich,E14001574,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,41377,2150,72206
West Ham and Beckton,E14001576,Borough,England,E92000001,London,E12000007,2019-12-12,40430,21937,70590
Westmorland and Lonsdale,E14001580,County,England,E92000001,North West,E12000002,2019-12-12,54200,5140,72322
Weston-super-Mare,E14001581,County,England,E92000001,South West,E12000009,2019-12-12,45872,13310,70722
Wetherby and Easingwold,E14001582,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,54397,27164,71455
Whitehaven and Workington,E14001583,County,England,E92000001,North West,E12000002,2019-12-12,49369,2144,73385
Widnes and Halewood,E14001584,County,England,E92000001,North West,E12000002,2019-12-12,47209,21542,70865
Wigan,E14001585,County,England,E92000001,North West,E12000002,2019-12-12,45042,6728,75607
East Wiltshire,E14001217,County,England,E92000001,South West,E12000009,2019-12-12,48988,24523,71109
South West Wiltshire,E14001498,County,England,E92000001,South West,E12000009,2019-12-12,47237,17378,71551
Wimbledon,E14001586,Borough,England,E92000001,London,E12000007,2019-12-12,56872,839,74641
Winchester,E14001587,County,England,E92000001,South East,E12000008,2019-12-12,63911,9050,76577
Windsor,E14001588,County,England,E92000001,South East,E12000008,2019-12-12,50031,18247,74338
Wirral West,E14001589,County,England,E92000001,North West,E12000002,2019-12-12,56046,455,72126
Witham,E14001590,County,England,E92000001,East of England,E12000006,2019-12-12,52105,25669,75064
Witney,E14001591,County,England,E92000001,South East,E12000008,2019-12-12,48839,15674,70042
Woking,E14001592,Borough,England,E92000001,South East,E12000008,2019-12-12,50475,8683,71737
Wokingham,E14001593,County,England,E92000001,South East,E12000008,2019-12-12,55012,12750,70235
Wolverhampton North East,E14001594,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,39564,7847,70449
Wolverhampton South East,E14001595,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,38227,2373,75685
Wolverhampton West,E14001596,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,50938,934,75592
Worcester,E14001597,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,50898,6758,73928
West Worcestershire,E14001579,County,England,E92000001,West Midlands,E12000005,2019-12-12,57530,24499,76638
Worsley and Eccles,E14001598,County,England,E92000001,North West,E12000002,2019-12-12,49563,3961,76915
East Worthing and Shoreham,E14001218,County,England,E92000001,South East,E12000008,2019-12-12,53128,7474,75466
Worthing West,E14001599,County,England,E92000001,South East,E12000008,2019-12-12,52560,13912,76293
The Wrekin,E14001543,County,England,E92000001,West Midlands,E12000005,2019-12-12,52432,21173,76143
Wrexham,W07000111,County,Wales,W92000004,,,2019-12-12,47123,3939,70964
Wycombe,E14001600,County,England,E92000001,South East,E12000008,2019-12-12,46892,1494,71769
Wyre Forest,E14001601,County,England,E92000001,West Midlands,E12000005,2019-12-12,50561,21413,77015
Wythenshawe and Sale East,E14001602,Borough,England,E92000001,North West,E12000002,2019-12-12,44759,10396,76971
Yeovil,E14001603,County,England,E92000001,South West,E12000009,2019-12-12,54128,14638,76056
Ynys Môn,W07000112,County,Wales,W92000004,,,2019-12-12,36552,1968,52415
York Central,E14001604,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,50102,14342,74854
York Outer,E14001605,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,54750,10782,72720
