name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
"Brecon, Radnor and Cwm Tawe",W07000085,County,Wales,W92000004,,,2019-12-12,52276,9091,72113
Brent East,E14001122,Borough,England,E92000001,London,E12000007,2019-12-12,44017,17756,75880
Brent West,E14001123,Borough,England,E92000001,London,E12000007,2019-12-12,48407,9431,76463
Brentford and Isleworth,E14001124,Borough,England,E92000001,London,E12000007,2019-12-12,51615,11369,76354
Brentwood and Ongar,E14001125,County,England,E92000001,East of England,E12000006,2019-12-12,52816,28974,74937
Bridgend,W07000086,County,Wales,W92000004,,,2019-12-12,46708,2553,70770
Bridgwater,E14001126,County,England,E92000001,South West,E12000009,2019-12-12,45004,16724,71418
Bridlington and The Wolds,E14001127,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,46440,21685,72501
Brigg and Immingham,E14001128,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,47245,24444,71628
Brighton Kemptown and Peacehaven,E14001129,Borough,England,E92000001,South East,E12000008,2019-12-12,49430,8280,69865
Brighton Pavilion,E14001130,Borough,England,E92000001,South East,E12000008,2019-12-12,57101,19630,75722
Bristol Central,E14001131,Borough,England,E92000001,South West,E12000009,2019-12-12,51427,16696,70227
Bristol East,E14001132,Borough,England,E92000001,South West,E12000009,2019-12-12,55286,19393,75936
Bristol North East,E14001133,Borough,England,E92000001,South West,E12000009,2019-12-12,48905,5464,69793
Bristol North West,E14001134,Borough,England,E92000001,South West,E12000009,2019-12-12,58405,7235,76783
Bristol South,E14001135,Borough,England,E92000001,South West,E12000009,2019-12-12,48268,9077,74696
Broadland and Fakenham,E14001136,County,England,E92000001,East of England,E12000006,2019-12-12,52814,19825,72907
Bromley and Biggin Hill,E14001137,Borough,England,E92000001,London,E12000007,2019-12-12,49058,14380,70418
Bromsgrove,E14001138,County,England,E92000001,West Midlands,E12000005,2019-12-12,54272,23106,75305
Broxbourne,E14001139,County,England,E92000001,East of England,E12000006,2019-12-12,47675,19192,75454
Broxtowe,E14001140,County,England,E92000001,East Midlands,E12000004,2019-12-12,53321,3819,72461
Buckingham and Bletchley,E14001141,County,England,E92000001,South East,E12000008,2019-12-12,52609,13345,73644
Mid Buckinghamshire,E14001360,County,England,E92000001,South East,E12000008,2019-12-12,54223,22648,72240
Burnley,E14001142,County,England,E92000001,North West,E12000002,2019-12-12,47102,127,75436
Burton and Uttoxeter,E14001143,County,England,E92000001,West Midlands,E12000005,2019-12-12,48738,14496,75460
Bury North,E14001144,Borough,England,E92000001,North West,E12000002,2019-12-12,53470,1282,77009
Bury South,E14001145,Borough,England,E92000001,North West,E12000002,2019-12-12,49634,935,74598
Bury St Edmunds and Stowmarket,E14001146,County,England,E92000001,East of England,E12000006,2019-12-12,52481,22085,75655
Caerfyrddin,W07000087,County,Wales,W92000004,,,2019-12-12,53342,4529,72683
Caerphilly,W07000088,County,Wales,W92000004,,,2019-12-12,45069,6901,72458
"Caithness, Sutherland and Easter Ross",S14000069,County,Scotland,S92000003,,,2019-12-12,52720,2788,75173
Calder Valley,E14001147,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,56454,5107,75987
Camborne and Redruth,E14001148,County,England,E92000001,South West,E12000009,2019-12-12,51581,9848,73568
Cambridge,E14001149,Borough,England,E92000001,East of England,E12000006,2019-12-12,49740,8099,72560
North East Cambridgeshire,E14001390,County,England,E92000001,East of England,E12000006,2019-12-12,44584,25779,70806
North West Cambridgeshire,E14001401,County,England,E92000001,East of England,E12000006,2019-12-12,47032,17032,73556
South Cambridgeshire,E14001481,County,England,E92000001,East of England,E12000006,2019-12-12,60078,1498,75484
Cannock Chase,E14001150,County,England,E92000001,West Midlands,E12000005,2019-12-12,46313,19879,75582
Canterbury,E14001151,County,England,E92000001,South East,E12000008,2019-12-12,57166,2160,75499
Cardiff East,W07000089,Borough,Wales,W92000004,,,2019-12-12,46781,17079,72463
Cardiff North,W07000090,Borough,Wales,W92000004,,,2019-12-12,54709,7579,71143
Cardiff South and Penarth,W07000091,Borough,Wales,W92000004,,,2019-12-12,50370,11851,72269
Cardiff West,W07000092,Borough,Wales,W92000004,,,2019-12-12,51941,10546,73947
Carlisle,E14001152,County,England,E92000001,North West,E12000002,2019-12-12,51240,11290,75868
